text,label
сегодняшнее число,23
яндекс музыка включить,7
покажи мне аниме,20
github,9
поставь анимешку,20
дискорт,10
найди спорт на ютубе,21
пойти в дискорд,10
уменьши громкость на,16
найди сериал,20
разблокируй звук,18
открой дискач,10
в спячку,1
добавь звука,15
пусть поспит,1
открой репозиторий,9
включи готовку на ютубе,21
сделай фото экрана,14
тишины добавь,16
открыть гит,9
дескорт включи,10
найди сериальчик,20
рабочий режим,25
выруби винду,2
какой месяц,23
найди познавательное видео на ютубе,21
системный плеер,13
открой приложение ютуб,6
запусти диспетчер задач,4
запусти кино,20
запусти мне аниме,20
запусти диспетчер,4
запусти тыгэ,11
телеграм включить,11
открой мне сериал,20
вруби звук,18
открой сайты,5
открой системный плеер,13
запустить медиаплеер,13
найди трансляцию на ютубе,21
глянь на ютубе,21
открой календарь,23
звук обратно,18
покажи мне фильм,20
включай телеграм,11
включи динамики,18
включи документалку на ютубе,21
прибавить звук на,15
запусти мне мультик,20
открой программу дискорд,10
проигрыватель виндоус,13
с путифай,8
включи интересное видео на ютубе,21
ищи на ютубе,21
перезагрузи компьютер,3
найди канал на ютубе,21
включи еду на ютубе,21
discord открой,10
сделать громче,15
режим сна,1
найди смешные моменты на ютубе,21
плейлист включи,7
давай на ютубе,21
телега открыть,11
открой процессы,4
давай сериал,20
найди подкаст на ютубе,21
приглуши на,16
power off,2
звук выше,15
покажи канал на ютубе,21
подключи впн,12
открой телег,11
включи новости на ютубе,21
дискор открой,10
диспетчер винды,4
кто грузит систему,4
прибавь звук,15
включи гитхаб,9
давай мультик,20
уровень звука на,19
яндекс музычка,7
включи дискорд,10
режим гибернации,1
яндекс браузер,5
включи природу на ютубе,21
покажи мне кино,20
какое число,23
запусти ролик на ютубе,21
отправить в сон,1
вруби фильм,20
подскажи число,23
пути фай,8
найди интересное видео на ютубе,21
добавь громкости на,15
календарь,23
покажи анимешку,20
запусти телеграм,11
включай плеер,13
сними беззвучие,18
звук верни,18
включи плиер,13
сделай скриншот,14
скажи который час,22
выключи ноут,2
тилиграм,11
открой дискор,10
включай фильм,20
включай мультик,20
вернуть звук,18
открой winamp,13
поставь аниме,20
телег,11
включи заставку на ютубе,21
отключи компьютер,2
сделать тише,16
включи дис корт,10
открой хром,5
открой дескорд,10
включи колонки,18
сегодня день,23
сделай ребут,3
спотыфай,8
перезапусти,3
покажи кино,20
дискордик,10
убавь громкость на,16
вруби дискорд,10
полностью выруби,2
найди фильм,20
включи фильм,20
открой тилиграм,11
усыпи ноут,1
рестарт,3
открыть дискорд,10
процессор,24
убери беззвучие,18
дис корт открой,10
выруби систему,2
дескорт открой,10
сколько оперативки,24
открой дискорт,10
запустить телегу,11
открой мне мультик,20
убавь уровень звука,16
верни громкость,18
сделай громче на,15
запустить дс,10
включи громкость,18
напиши в ютубе,21
открой ютуб,6
включи приложение дискорд,10
сегодня,23
текущий день,23
найди передачу на ютубе,21
сколько сейчас,22
включить vpn сервис,12
открыть vpn,12
яндекс музыка открыть,7
покажи клип на ютубе,21
какой сегодня день недели,23
пойти в спотифай,8
найди видео с котами на ютубе,21
время,22
включи летсплей на ютубе,21
телеграм открыть,11
музыка спотифай,8
какой сейчас день,23
дата сейчас,23
скажи какое число,23
поставь мультик,20
запустить браузер,5
звук офф,17
открой телеграмм,11
мут,17
включи мне на ютубе,21
текущее число,23
включи режим отдыха,26
включи дискор,10
диз корд открой,10
запустить github,9
включить vpn,12
запусти приложение ютуб,6
диспетчер,4
открой video,6
найди кинчик,20
открой сериал,20
открыть плеер,13
запусти хром,5
плеер,13
диспетчер задач,4
время ботать,25
тыгэ,11
ребутни,3
время работать,25
процессы показать,4
дискор включи,10
сделай звук,18
дезкард,10
покажи на ютубе,21
покажи короткое видео на ютубе,21
запусти дискач,10
открой мультик,20
тгшка,11
запусти яндекс музыку,7
размутить,18
запусти плеер,13
выключить динамики,17
найди шоу на ютубе,21
состояние системы,24
найди приколы на ютубе,21
включи кинцо,20
дискордчик,10
открой трейлер на ютубе,21
открой приложение телеграм,11
стандартный плеер,13
запусти приложение дискорд,10
память,24
сделай скрин,14
число и месяц,23
прибавить,15
выключи железо,2
включить аудио,18
поищи на ютубе,21
открой диспетчер,4
дискарт,10
найди музыку на ютубе,21
запусти спотифай,8
поставь мультики,20
заблочь ПК,0
включи фильм на ютубе,21
активировать звук,18
что жрет память,4
включи обзор на ютубе,21
вруби ролик на ютубе,21
скажи дату,23
включи мультсериал,20
какая нагрузка,24
начнем работать,25
яндекс музыка,7
включи видеоурок на ютубе,21
запусти музыкальный плеер,13
гидхаб,9
погнали ботать,25
github запустить,9
открой дату,23
запустить discord,10
перегрузи,3
запусти дизкорд,10
дескорд открой,10
покажи сериал,20
сфоткай экран,14
включи плеер,13
увеличь уровень звука,15
включи приложение телеграм,11
включи яндекс музыку,7
запусти плиер,13
запусти мне сериал,20
поставь плейлист на ютубе,21
поставь фильм,20
дискорт открыть,10
сделай тише,16
зайди на гитхаб,9
запускай плеер,13
открывай телеграм,11
найди обучающее видео на ютубе,21
включи мультики,20
найди стрим на ютубе,21
громкость вниз на,16
включи приколы на ютубе,21
назови день недели,23
открыть github,9
гедхаб,9
текущая дата,23
давай чилить,26
сделай громкость,19
подключить впн,12
плиер,13
найди короткое видео на ютубе,21
выключи звук,17
запусти телегу,11
запустить youtube,6
найди мне кино,20
установи громкость,19
скриншот сохранить,14
github открыть,9
какой день,23
запусти мультик,20
громкость увеличить,15
число,23
открой медиаплеер,13
посмотри процессы,4
снимок,14
зайти в дискорд,10
блокировка,0
зайти в телеграм,11
давай аниме,20
включи животные на ютубе,21
включи рабочий режим,25
отключи звук,17
время на компе,22
усиль звук на,15
число какое,23
включи сериал,20
дис корт,10
включи подкаст на ютубе,21
посмотри на ютубе,21
включить звук,18
скриншот сделать,14
запусти мультсериал,20
включи блогера на ютубе,21
что зависло,4
астра отдых,26
поставь громкость,19
давай фильм,20
в ребут,3
включай медиаплеер,13
поставь песню на ютубе,21
сделай выключение,2
открой интернет,5
открывай тг,11
заблокируй экран,0
браузер включить,5
число и месяц сегодня,23
включи youtube,6
найди альбом на ютубе,21
включить музыку яндекс,7
поставь кинцо,20
включи видео на ютубе,21
открой ролик на ютубе,21
какое сегодня число,23
поставь музыку на ютубе,21
перезагрузись,3
запустить дискорд,10
послушать музыку,7
найди кинцо,20
отправь скрин,14
найди документалку на ютубе,21
диспетчер приложений,4
тихо,16
дату скажи,23
открыть медиа плеер,13
найди обзор на ютубе,21
открой проигрыватель,13
покажи музыку на ютубе,21
время сейчас,22
выстави громкость,19
дискор запусти,10
который час,22
впн подключить,12
покажи время,22
какой сегодня день,23
спотифай,8
покажи ютуб,6
открой мне аниме,20
покажи лекцию на ютубе,21
скринить,14
диз корд запусти,10
запусти программу дискорд,10
сколько времени,22
запусти гитхаб,9
поставь сериальчик,20
вруби спотифай,8
найди мне мультик,20
включи спорт на ютубе,21
включи телеграм,11
спотик открыть,8
вниз громкость,16
мессенджер телеграм,11
найди плейлист на ютубе,21
гед хап,9
запусти телеграмм,11
включи дескорд,10
включи мультфильм на ютубе,21
запусти тилиграм,11
найди длинное видео на ютубе,21
перезагрузка,3
выруби ПК,2
запусти музыкальное приложение,7
дизк,10
погнали воркать,25
найди путешествия на ютубе,21
заглуши,17
включи телегу,11
звук ниже,16
какой день недели,23
дис корт включи,10
включи мастер-класс на ютубе,21
открой тг,11
сегодня день какой,23
спячка,1
включи стрим на ютубе,21
сохрани скрин,14
найди еду на ютубе,21
запусти мне фильм,20
менеджер задач,4
найди готовку на ютубе,21
спотифай открыть,8
найди анимешку,20
сон,1
вырубиться,2
выключи систему,2
переключи на ютуб,21
который часик,22
музыкальный плеер,13
покажи мультик,20
открыть спотик,8
системные показатели,24
включи трейлер на ютубе,21
включи звук,18
отключи аудио,17
открой браузер,5
запусти ютуб,6
найди природу на ютубе,21
открой спатифай,8
пора отдыхать,26
дизка,10
открыть тг,11
запусти дс,10
дизкорд открой,10
включи проигрыватель,13
telegram открой,11
открыть дс,10
заверши работу,2
экран блок,0
залочить винду,0
немо,17
ютуб запустить,6
фото экрана,14
дискорт запустить,10
включи диз корд,10
яндекс музыка запустить,7
введи в ютубе,21
перегрузи комп,3
включи анимешку,20
открой спотик,8
найди мастер-класс на ютубе,21
зависло покажи,4
пойти в телегу,11
снимок экрана,14
запусти на ютубе,21
открой видео плеер,13
заглушить звук,17
перезапусти систему,3
дизкорд включи,10
громкость вверх на,15
скажи время,22
открой дескорт,10
часы,22
телеграм запусти,11
покажи видео на ютубе,21
спящий режим,1
включи альбом на ютубе,21
зайди на ютуб,6
открой dc,10
число сегодня,23
открыть dc,10
покажи обзор на ютубе,21
звук тише на,16
запусти дис корт,10
телеграмм открыть,11
громкости добавить,15
закрыть экран,0
покажи задачи,4
дискорд приложение,10
найди мультфильм на ютубе,21
завершить сессию и выключить,2
звук тише,16
громче звук,15
включи ютуб,6
запусти спотик,8
task manager,4
спатифай,8
перейди на ютуб,21
открой дс,10
медиа открыть,13
заблокируй сессию,0
громкость поставить,19
сделай без звука,17
впн запустить,12
активируй режим отдыха,26
увеличить громкость,15
включи обзор игр на ютубе,21
найди туториал на ютубе,21
покажи число,23
включи аудио,18
приглуши,16
найди трейлер на ютубе,21
ютуб открыть,6
открой телеграм,11
какой день недели сейчас,23
интернет,5
веб-обозреватель,5
какой сейчас месяц,23
включи ролик на ютубе,21
включай аниме,20
включай мультик,20
запусти браузер,5
запусти мне на ютубе,21
назови число,23
покажи диспетчер,4
скажи какой день,23
дескорт запусти,10
включи дизкорд,10
перезагрузи винду,3
проигрыватель,13
discord,10
врубай звук,18
поставь кинчик,20
давай кино,20
подними впн,12
диз корд включи,10
включи сериал на ютубе,21
в блокировку,0
покажи дату,23
найди видеоурок на ютубе,21
открой гитхаб,9
сегодня какой месяц,23
найди мне аниме,20
поисковик открой,5
подними громкость,15
открыть spotify,8
звук включить,18
рестартани,3
открой диз корд,10
дезкорд,10
открыть видео,6
загрузка цп,24
поставь сериал,20
астра работа,25
перейди на гитхаб,9
запусти клип на ютубе,21
спать,1
отправь в сон,1
отключить аудио,17
запусти spotify,8
вруби телеграм,11
открой мне фильм,20
выруби аудио,17
телега,11
покажи загрузку,24
комп в сон,1
день недели,23
работа,25
запусти диз корд,10
поставь сериал на ютубе,21
аудиоплеер,13
медиаплеер виндоус,13
открой видео на ютубе,21
найди мультики,20
открывай плеер,13
включить spotify,8
захвати экран,14
диспетчер процессов,4
ребут,3
глотни сериал,20
спотик,8
перезапустить компьютер,3
открой мессенджер,11
гитхаб открыть,9
споти фай,8
включи кинчик,20
гит,9
усыпи систему,1
найди на ютубе,21
открой на ютубе,21
включай сериал,20
открой плиер,13
убавь,16
открой кино,20
включи урок на ютубе,21
сделай звук громче,15
время отдыхать,26
запусти фильм,20
дискач открыть,10
час сейчас,22
запусти youtube,6
включи впн,12
муте,17
дизкорд запусти,10
сегодняшняя дата,23
телеграмм,11
звук выключить,17
сделать скриншот,14
найди новости на ютубе,21
покажи статистику,24
гид хап,9
покажи трансляцию на ютубе,21
найди клип на ютубе,21
убавь звук на,16
тише звук,16
запускай телеграм,11
сколько время,22
звук на,19
переведи в спящий режим,1
сделай рестарт,3
громкость вверх,15
ютуб включить,6
включи музыку,7
открой ym,7
найди летсплей на ютубе,21
запускай медиаплеер,13
активируй звук,18
запусти дискорт,10
spotify запустить,8
дескорд запусти,10
громче,15
скрин,14
открой телеграмчик,11
запустить плеер,13
текущий час,22
