001|Порой бывают ситуации, когда ты общаешься с человеком и диалог: живой, яркий, интересный, и вы общаетесь без пауз, вам здорово, вам классно.
002|А иногда... Мы начинаем торопиться.
003|Я не в одном ролике уже говорила про паузы. Мы часто с вами говорим о том, что они необходимы в речи и для формулирования мысли, и для дикции, и для внятности твоих мыслей.
004|Но никогда мы этот вопрос не разбирали отдельно.
005|Поэтому сегодня я решила записать вам ролик, чтобы поставить все точки над "и".
006|А точнее над паузой. Что это. Для чего она нужна. И почему она так необходима в общении с окружающими.
007|Пауза необходима в первую очередь тебе, как спикеру, как человеку, который в данный момент говорит.
008|Ударения не в тех местах, неправильные склонения, ну и неправильная дикция.
009|Если у меня нет паузы, у меня нет вот этого драгоценного времени на то, чтобы разложить свою мысль по полочкам.
010|Всегда, когда мы видим какие-либо слова, мы сначала ставим ударения, потом уже всё остальное.
011|И ударение всегда мы акцентируем, мы его выделяем потому что у нас один ударный слог, запоминаем, одно ударение в слове.
012|На самом деле даже наличие слов паразитов не говорит не об твоем образовании, не о твоем интеллекте. Нет. Просто они иногда у нас бывают в речи, просто из-за того, что мы не успеваем подумать.
013|Мы не делаем паузу. Пауза необходима.
014|Я уже говорила, как формулируются мысли, там много этапов и они достаточно сложные. Сначала у меня должна родиться мотивация что-то сказать, без этой мотивации моя речь будет неосознанная.
015|После этой мотивации у нас появляются намерения что-то сделать, что-то озвучить.
016|Мозг такой: "Ать!" Выцепил одну и дальше нам нужно с этой мыслью что-то сделать, как-то её оформить.
017|Мы берём форму, думаем: "Угу, какие у меня для этого средства есть?" И подбираем слова.
018|Потом мы ещё артикулируем, после того как подобрали эти слова.
019|И после того как проартикулировали и проговорили эту мысль, у нас ещё происходит анализ. А что я только что сказал?
020|И вот теперь представь... Сколько этапов я сейчас произнесла, озвучила? Много!
021|Где должна стоять пауза? В начале мысли и в конце.
022|Перед тем как ты озвучил свою мысль, чтобы ты подумал, да, что я сейчас хочу сказать?
023|После того как ты озвучил эту мысль. Микропауза. Она может быть очень короткой.
024|В этот момент ты также формулируешь мысль дальше. Что я скажу дальше.
025|Ты не успел подобрать слова, не успел сконструировать эту мысль в какую-то форму.
026|Второй важный фактор - это улучшение дикции за счёт пауз...
027|У меня невнятные гласные, не на тех местах ударения. И такое да, бывает. Или появляется, например, многоударность.
028|Почему качество дикции улучшается, если мы начинаем говорить чуть медленнее и с паузами?
029|Потому что наша речь - это всегда такой продукт, когда... Естественно мы не можем всё и сразу осознать, да, что мы делаем и как у нас там всё это происходит?
030|Пауза также нужна и нашему собеседнику, чтобы он успел переварить то, что мы ему говорим.
031|Но если мы начинаем торопиться, то наша дикция летит. Наш собеседник оказывается в неудобном положении.
032|Представь. Я тебе что-то говорю. Но в моей речи...
033|Что ты делаешь? Твой мозг начинает... пытаться... раскладывать все эти слова по полочкам, сначала что мы делаем? Слышим звуки!
034|Мы не слышим сразу слова. Мы слышим звуки, потом их пытаемся проассоциировать с чем-то знакомым...
035|То есть он берёт знакомые слова и пытается их сложить в одну мысль. Если в моей речи много слов паразитов, если у меня очень много невнятных слов.
036|Тогда мозг начинает откидывать всё ненужное, то есть выбрасывать мусор, да? Убирать его из моей речи!
037|После того как он собрал знакомые слова, нужные, убрал всё ненужное, он начинает обдумывать: "А для чего мне этот собеседник говорит?"
038|Получается, если у меня много слов паразитов, если у меня есть ещё плюсом невнятность моей речи, и ещё я лечу быстрее паровоза, я не даю собеседнику паузу.
039|Что с ним происходит? Он устаёт! Но а в закрытом клубе "Ясно сказано" каждую неделю выходят новые речевые разминки, направленные на чёткость, внятность речи.
040|Третья. Психологическая пауза перед важной мыслью.
041|Вы резвитесь в классе вместе с одноклассниками. Была бурная перемена, яркие события, приходите в класс, начинаете резвиться, продолжаете точнее... Тут заходит педагог, и тишина.
042|Психологическая пауза - это важный элемент в нашей коммуникации.
043|Ну и последнее предлагаю дать этой паузе наконец-то случиться. Даже если вы общаетесь с человеком и вдруг вот это неловкое молчание у вас повисло в воздухе...
044|Пауза имеет содержание. Пауза может быть без содержания, если действительно... ну... вам неинтересно.
045|И последнее самое важное я предлагаю вам попробовать, научиться чувствовать удовлетворение в этой паузе.
046|Ну что, дорогие друзья, расскажите, как у вас обстоят дела с паузой?
047|Любите её делать или нет? Или наоборот избегаете всеми возможными способами?
048|Конспект к этому ролику будет ждать вас в моем бесплатном канале.
049|Спасибо, что досмотрели этот ролик до конца, поставьте пожалуйста палец вверх этому видео.
