path,emotion
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7b0731020feafda2cbe77c8a8eb65db9.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a2461956f69e9b8bb8c9ac20653af567.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3b9b060371f923ecbb803670fb4599cb.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3ed81fd21b083da0311ca9ad8b657ee1.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c56aab7add2ee6bce2cb8b21a377f1ab.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a85ea1d431e5b238f51c6bdbeb8f993a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c2ebba39ac63b9c1d1924e6f8c422618.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a6e84f026c22369fb7fd3b9eea98837f.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\89ac6bc3bc8a0ead4f0c0dede827cef0.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\9d81fef00e7050b3fdc99f92c56903bb.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\0f009668a7598512a9dbf9e179ff2bd4.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\27b5857af305bfece983a967c735ede9.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\902217119a97acbffa8b7dbe08075670.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f9220b5fe2b019f6bec409915299aefa.wav,sad
