0001|Сегодня будет достаточно необычное.
0002|Очень-очень непривычно, потому что...
0003|Уложить тебя спать именно голосом.
0004|Я попрошу тебя просто слушать меня, выполнять мои указания.
0005|Расслабься... Расслабь свои глазки... Свои ушки...
0006|Ты - молодец. Я уверена, что у нас с тобой всё получится.
0007|Шёпотом... или с голосом.
0008|И для начала и возьму пёрышки.
0009|Нейтральный триггер.
0010|И попрошу тебя следить за ними внимательно.
0011|Это поможет немножко расслабить зрительные мышцы.
0012|угу.
0013|Можешь, кстати, выбрать одно пёрышко. Это или это.
0014|Если тебе так хочется, так и сделай!
0015|Можешь следить за этим пёрышком, а можешь за этим...
0016|Тааак…
0017|Раз. Два. Три.
0018|Один! Два. Три.
0019|Один. Два. Три.
0020|Три. Четыре. Пять.
0021|Ты знаешь... Я люблю вот этот звук.
0022|Переходим к следующему предмету.
0023|Ты - умничка!
0024|Сейчас твоя задача просто... Отдохнуть.
0025|Думаешь, я уже не могу тебя ничем удивить?
0026|Хотя ты знаешь, я сказала, что это носорог, потому что у него здесь рог, но это же не носорог, это похоже на динозавра!
0027|Кто ты, зайчик?
0028|Напиши в комментариях, кто это.
0029|Динозавр... С хвостом как у кенгуру.
0030|Интересная у нас собралась компания. Однако!
0031|И сейчас будет очень важное задание.
0032|Так как сейчас лето.
0033|Арбуз или дыня?
0034|Кто-то больше любит арбузы, кто-то больше любит дыньки.
0035|Ты знаешь, что ты заслуживаешь всего самого-самого хорошего.
0036|Если ты больше любишь дыни - за утко-кошка.
0037|Ещё парочку раз.
0038|Как приятно тучкой по небу лететь!
0039|Твоё тело сейчас такое же лёгкое, невесомое.
0040|Тем глубже ты проваливаешься в сон.
0041|Ночка будет отдаляться, ты будешь засыпать.
0042|Ты чувствуешь, как твои веки становятся всё тяжелее...
0043|Пора засыпать. Отдыхать. Высыпаться.
0044|И ты потихонечку, потихонечку улетаешь в мир снов.
0045|Восстанавливай свои силы.
0046|Мы с тобой обязательно скоро увидимся.
0047|Я безумно рада видеть тебя!
0048|В новом две тысячи двадцать пятом году.
0049|Я надеюсь, что твои новогодние праздники прошли замечательно.
0050|Я постараюсь сегодня тебя зарядить позитивом.
0051|Хорошим настроением и, конечно же, расслабить немножечко.
0052|Сегодня я покажу тебе кое-какие свои новые покупки.
0053|Покажу, что я купила для новых роликов. Поболтаем с тобой. Вспомним прошлый год.
0054|Нежным видео с медленным шёпотом и очень приятными звуками.
0055|Год я предлагаю начать с мандаринки.
0056|Купила огромный пакет вот таких маленьких-маленьких мелких мандаринок.
0057|Просто, правда мандарины это как семечки начинаешь кушать и сложно остановиться.
0058|Давай сначала я тебя покормлю.
0059|Я не очень в них разбираюсь, но почему-то стараюсь всегда выбирать мелкие. Мне кажется, что они более сладкие.
0060|Какие мандаринки любишь ты? Держи, ещё две дольки тебе отломаю.
